build,set,gameId,label,side,verdict,source,reason,n,nodes,fen
engine_4x.js,chasolver-positions,chasolver-positions:182,--,b,WT,H,horizon,0,181,k4b2/4pPp1/3pP1Pp/2pP3P/BpP5/1P6/K7/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:183,--,b,WT,H,horizon,0,181,k4b1N/4pPp1/3pP1Pp/2pP3P/BpP5/1P6/K7/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:184,--,b,WT,H,horizon,0,181,k4bBN/4pPp1/3pP1Pp/2pP3P/BpP5/1P6/K7/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:185,--,b,WT,H,horizon,0,165,k4bBN/b3pPp1/3pP1Pp/2pP3P/BpP5/1P6/K7/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:198,--,w,BT,H,horizon,0,244,1k6/p1p1p1p1/P1P1P1P1/p1p1p1p1/4P3/8/P1P3P1/4K3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:200,--,w,BT,H,horizon,0,346,8/k5p1/6P1/6P1/6PK/6PR/6PP/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:214,--,w,BT,H,horizon,0,217,8/1p6/kPp5/2P5/1pP5/1P6/8/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:217,--,w,BT,H,horizon,0,199,8/1p6/kPp5/2P3p1/1pP3Pb/1P4p1/6P1/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:218,--,w,BT,H,horizon,0,185,8/1p6/kPp3p1/2P3p1/1pP3Pb/1P4p1/6P1/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:227,--,b,WT,H,horizon,0,146,8/4kb2/8/1p1p1p1p/1P1P1P1P/1b6/3B1K2/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:228,-B,b,WT,H,horizon,0,123,8/4kb2/8/1p1p1p1p/1P1P1P1P/1bB5/3B1K2/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:233,--,w,BT,H,horizon,0,387,8/6p1/1k4P1/6PK/6P1/6PR/7P/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:234,--,w,BT,H,horizon,0,321,8/6p1/1k4P1/6PK/p1p3P1/P1Pp2PR/1B1P3P/BNB5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:238,--,w,BT,H,horizon,0,121,2k5/b7/8/p1p1p1p1/P1P1P1P1/8/B5B1/4K3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:239,--,w,BT,H,horizon,0,127,2k5/b7/8/p1p1p1p1/P1P1P1P1/8/2B3B1/4K3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:241,--,w,BT,H,horizon,0,121,2k5/b7/8/p1p1p1p1/P1P1P1P1/8/B5B1/5K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:242,--,w,BT,H,horizon,0,121,2k5/2b5/8/p1p1p1p1/P1P1P1P1/8/B5B1/5K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:245,--,w,BT,H,horizon,0,127,3k4/b7/8/p1p1p1p1/P1P1P1P1/8/2B3B1/5K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:246,--,w,BT,H,horizon,0,128,3k4/b7/8/p1p1p1p1/P1P1P1P1/8/2B1B3/5K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:250,-B,b,WT,H,horizon,0,136,3k4/1b6/8/1p1p1p1p/1P1P1P1P/4B3/b4B2/3K4 b - -
engine_4x.js,chasolver-positions,chasolver-positions:254,--,w,BT,H,horizon,0,196,5bk1/4p1p1/4P1P1/7K/8/8/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:255,--,w,BT,H,horizon,0,196,5bBk/4p1p1/4P1P1/7K/8/8/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:272,--,b,WT,H,horizon,0,194,5bR1/4p1pk/4P1P1/7K/8/8/8/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:274,--,b,WT,H,horizon,0,194,5b1N/4p1pk/4P1P1/7K/8/8/8/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:275,--,w,BT,H,horizon,0,128,8/8/k6p/5p1P/3b1p2/5PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:276,--,w,BT,H,horizon,0,132,8/8/k6p/5p1P/3b1p2/2b2PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:292,--,w,BT,H,horizon,0,194,4K3/8/8/8/8/p1p2p1p/P1pppp1P/bnrqkrnb w - -
engine_4x.js,chasolver-positions,chasolver-positions:293,--,w,BT,H,horizon,0,208,3k4/p1p1p1p1/P1P1P1P1/p1p1p1p1/8/8/P1P1P1P1/3K4 w - -
engine_4x.js,chasolver-positions,chasolver-positions:294,--,w,BT,H,horizon,0,211,1b1k4/p1p1p1p1/P1P1P1P1/p1p1p1p1/8/8/P1P1P1P1/3K4 w - -
engine_4x.js,chasolver-positions,chasolver-positions:296,--,w,BT,H,horizon,0,134,1b1k4/p1p1pBp1/P1P1P1P1/p1p1p1p1/8/8/P1P1P1P1/3K4 w - -
engine_4x.js,chasolver-positions,chasolver-positions:298,--,w,BT,H,horizon,0,134,8/b1b5/k6p/5p1P/5p2/5PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:300,--,b,WT,H,horizon,0,130,8/8/7p/5p1P/5p1K/5Pp1/6P1/5kb1 b - -
engine_4x.js,chasolver-positions,chasolver-positions:317,--,w,BT,H,horizon,0,139,8/1k5B/7b/8/1p1p1p1p/1PpP1P1P/2P3K1/N3b3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:336,--,b,WT,H,horizon,0,186,8/7k/6p1/5pPp/4pP1P/1p1pP1KP/1PpP3P/2B3B1 b - -
engine_4x.js,chasolver-positions,chasolver-positions:339,--,b,WT,H,horizon,0,186,8/7k/6p1/5pPp/4pP1P/1p1pP1KP/1PpP1B1P/2B1B1B1 b - -
engine_4x.js,chasolver-positions,chasolver-positions:340,--,b,WT,H,horizon,0,186,8/7k/6p1/5pPp/4pP1P/1p1pP3/1PpP1B2/2B1B1BK b - -
engine_4x.js,chasolver-positions,chasolver-positions:342,--,b,WT,H,horizon,0,197,8/7k/8/5p2/4pPp1/1p1pP1Pp/1PpP3P/2B2N1K b - -
engine_4x.js,chasolver-positions,chasolver-positions:350,--,w,BT,H,horizon,0,211,1k6/6p1/5pP1/5p1K/5Pp1/6P1/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:354,--,w,BT,H,horizon,0,188,1k6/1b5p/5p1P/5p1K/5Pp1/6P1/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:355,--,w,BT,H,horizon,0,192,7k/8/1p6/1Pp5/2Pp4/pB1Pp1p1/P1B1P1P1/1B1B2K1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:365,--,w,BT,H,horizon,0,135,8/b1k3b1/5b2/p1p1p1p1/P1P1P1P1/2K5/6B1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:366,--,w,BT,H,horizon,0,118,8/b1k3b1/5b2/p1p1p1p1/P1P1P1P1/2K5/5bB1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:372,-B,b,WT,H,horizon,0,139,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/4BK2/7B/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:373,-B,b,WT,H,horizon,0,143,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/4BKB1/8/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:374,-B,b,WT,H,horizon,0,142,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/4BK2/3B4/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:375,-B,b,WT,H,horizon,0,140,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/4BK2/5B2/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:376,-B,b,WT,H,horizon,0,131,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/5K2/5B2/B7 b - -
engine_4x.js,chasolver-positions,chasolver-positions:382,-B,b,WT,H,horizon,0,141,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/4BK2/8/4B3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:383,-B,b,WT,H,horizon,0,131,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/4BK2/7B/4B3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:384,-B,b,WT,H,horizon,0,121,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/2B1BK2/7B/4B3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:385,-B,b,WT,H,horizon,0,121,8/1p3k2/pPp3p1/P1Pp1pPp/2bP1P1P/2B1BKB1/7B/4B3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:429,W-,w,BT,H,horizon,0,139,rnb1b3/pk1p4/p1pPp1p1/P1P1P1Pp/RBP4P/P7/5B2/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:430,--,b,WT,H,horizon,0,145,8/1k5B/7b/8/1p1p1p1p/bPpP1P1P/2Pb2K1/N1b1b3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:431,--,b,WT,H,horizon,0,145,4B3/1k3B1B/7b/5B2/1p1p1pBp/bPpP1P1P/2Pb2K1/N1b1b3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:433,--,w,BT,H,horizon,0,124,8/b1b5/k6p/2b2p1P/1b3p2/5PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:436,--,w,BT,H,horizon,0,154,k4b1N/4pPp1/3pP1Pp/2pP3P/BpP5/1P6/K7/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:472,--,w,BT,H,horizon,0,132,3k1b2/4b3/1p1p1p1p/1P1P1P1P/4B3/5B2/3K4/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:486,--,b,WT,H,horizon,0,130,8/8/7p/5p1P/3b1p1K/5Pp1/6P1/5kb1 b - -
engine_4x.js,chasolver-positions,chasolver-positions:487,--,b,WT,H,horizon,0,130,8/8/3b3p/5p1P/3b1p1K/5Pp1/6P1/5kb1 b - -
engine_4x.js,chasolver-positions,chasolver-positions:489,W-,w,BT,H,horizon,0,139,rnb1b3/pk1p4/p1pPp1p1/P1P1P1P1/RBP5/P7/5B2/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:503,--,b,WT,H,horizon,0,409,k7/6p1/6P1/6PK/6P1/1p2p1PR/1P2P2P/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:507,W-,w,BT,H,horizon,0,122,k7/1b6/2b5/3b4/4b3/1pB2b2/pP4b1/K6b w - -
engine_4x.js,chasolver-positions,chasolver-positions:508,W-,w,BT,H,horizon,0,149,k7/1b6/2b5/8/8/1pB5/pP6/K7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:509,--,w,BT,H,horizon,0,138,k6B/1b4B1/5B2/4B3/3B4/1pB5/pP6/K7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:510,--,w,BT,H,horizon,0,168,k6B/1b4B1/5B2/4B3/3B4/1pB1B3/pP1B4/K7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:511,W-,w,BT,H,horizon,0,165,k6B/1b4B1/2b2B2/4B3/3B4/1pB1B3/pP1B4/K7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:514,--,w,BT,H,horizon,0,178,6k1/8/8/8/8/1p1p4/1P1P4/1KB5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:529,--,w,BT,H,horizon,0,193,8/1pK5/kPp5/2P5/1pP5/1P6/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:533,--,w,BT,H,horizon,0,184,8/1p6/1Pp5/k1P5/p1P5/P1K5/3B4/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:534,--,w,BT,H,horizon,0,162,8/1p6/1Pp5/k1P5/p1P5/P1K1B3/3B4/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:535,--,w,BT,H,horizon,0,217,8/1p6/1Pp5/k1P5/p1P5/P1K5/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:537,--,w,BT,H,horizon,0,217,2b5/1p1p2p1/1PpP2P1/k1P5/p1P5/P1K5/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:541,--,w,BT,H,horizon,0,192,1kbK4/1p1p4/pPpP4/P1P5/2P5/8/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:542,--,w,BT,H,horizon,0,192,1kbK4/1p1p4/pPpP4/P1P5/8/8/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:543,--,w,BT,H,horizon,0,192,1kbK4/1p1p4/1PpP4/2P5/8/8/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:544,--,w,BT,H,horizon,0,192,1kbK4/1p1p4/1P1P4/8/8/8/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:556,--,b,WT,H,horizon,0,175,BNRKQRNB/p1PPPP1p/P1P2P1P/8/8/8/3k4/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:570,--,w,BT,H,horizon,0,199,7k/8/8/8/p1p5/P1Pp2p1/PB1P2P1/BRB3K1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:571,--,w,BT,H,horizon,0,184,7k/8/8/8/p1p5/P1Pp2p1/P2P2P1/B1B3K1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:575,--,w,BT,H,horizon,0,201,7k/8/8/6p1/5pP1/4pP1B/4P1B1/5BKB w - -
engine_4x.js,chasolver-positions,chasolver-positions:593,--,w,BT,H,horizon,0,195,6k1/8/8/3p4/1p1Pp1p1/1Pp1PpP1/2P2P1B/N2K2B1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:604,W-,w,BT,H,horizon,0,174,3k4/2b5/1b4B1/8/8/6p1/6Pp/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:605,W-,w,BT,H,horizon,0,142,8/8/8/3B4/8/6p1/1b4Pp/k1b4K w - -
engine_4x.js,chasolver-positions,chasolver-positions:606,W-,w,BT,H,horizon,0,137,8/8/8/3B4/8/6p1/1b4Pp/2b2k1K w - -
engine_4x.js,chasolver-positions,chasolver-positions:607,W-,w,BT,H,horizon,0,127,7k/8/8/3B4/8/6p1/1b4Pp/2b4K w - -
engine_4x.js,chasolver-positions,chasolver-positions:608,W-,w,BT,H,horizon,0,212,1b5k/b7/8/3B4/8/6p1/6Pp/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:611,--,w,BT,H,horizon,0,198,1k6/8/8/8/2p1p1p1/1pP1PpP1/1P1B1P2/2B1B1BK w - -
engine_4x.js,chasolver-positions,chasolver-positions:616,--,w,BT,H,horizon,0,158,B1Bk4/p1pPp3/P1P1P3/8/3b4/2b5/8/5K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:619,--,w,BT,H,horizon,0,166,8/6k1/8/p1p5/P1Pp4/1B1Pp2p/B1B1P2P/1B3K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:620,--,w,BT,H,horizon,0,132,8/6k1/8/p1p5/P1Pp4/1B1Pp2p/B3P2P/1B3K2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:623,--,w,BT,H,horizon,0,203,8/6k1/8/6p1/5pP1/4pP1B/4P1B1/5BKB w - -
engine_4x.js,chasolver-positions,chasolver-positions:624,--,w,BT,H,horizon,0,203,8/6k1/8/8/5p1p/4pP1P/4P1B1/5BKB w - -
engine_4x.js,chasolver-positions,chasolver-positions:625,--,w,BT,H,horizon,0,134,2b5/1pPp2k1/1P1Pp3/4Pp2/5Pp1/6Pp/3K3P/6B1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:628,--,w,BT,H,horizon,0,148,N1N1N1N1/PpPpPpPp/1P1P1P1P/8/8/8/3K4/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:629,--,w,BT,H,horizon,0,148,NBN1N1N1/BpPpPpPp/1P1P1P1P/8/8/8/3K4/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:640,--,w,BT,H,horizon,0,143,B1B1B1B1/pBpBpBpB/P1P1P1P1/8/8/8/8/k1K5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:641,--,w,BT,H,horizon,0,143,B1B1B1B1/pBpBpBp1/P1P1P1P1/8/8/8/8/k1K5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:644,--,w,BT,H,horizon,0,143,2B1B1B1/pBpBpBpB/P1P1P1P1/8/8/8/8/k1K5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:659,--,w,BT,H,horizon,0,156,1N1N1b1N/pPpPpPp1/P1P1P1P1/8/8/8/8/K1k5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:660,--,w,BT,H,horizon,0,156,N1b1N1N1/1pPpPpPp/1P1P1P1P/8/8/8/8/K1k5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:661,--,w,BT,H,horizon,0,156,N1b1NBN1/1pPpPpPp/1P1P1P1P/8/8/8/8/K1k5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:662,--,w,BT,H,horizon,0,149,N1b1N1N1/1pPpPpPp/1P1P1P1P/4B3/8/8/8/K1k5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:663,--,w,BT,H,horizon,0,156,N1b1N1NB/1pPpPpPp/1P1P1P1P/8/8/8/8/K1k5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:664,--,w,BT,H,horizon,0,156,NBb1N1N1/1pPpPpPp/1P1P1P1P/8/8/8/8/K1k5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:665,--,w,BT,H,horizon,0,150,N1b1N1N1/1pPpPpPp/1P1P1P1P/8/8/8/8/K1k1B3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:666,--,w,BT,H,horizon,0,138,N1b1N1N1/1pPpPpPp/1P1PkP1P/8/8/8/8/K3B3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:667,--,w,BT,H,horizon,0,131,N1b1N1N1/1pPpPpPp/kP1P1P1P/2K5/8/8/8/4B3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:668,--,w,BT,H,horizon,0,131,N1b1N1N1/1pPpPpPp/1P1P1P1P/2K5/8/8/8/4B2k w - -
engine_4x.js,chasolver-positions,chasolver-positions:669,--,w,BT,H,horizon,0,137,N1b1N1N1/1pPpPpPp/1P1P1P1P/8/8/1K6/3B4/1k6 w - -
engine_4x.js,chasolver-positions,chasolver-positions:670,--,w,BT,H,horizon,0,139,N1b1N1N1/1pPpPpPp/1P1P1P1P/4K3/8/8/8/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:671,--,w,BT,H,horizon,0,137,N1b1N1N1/1pPpPpPp/1P1P1P1P/4K3/8/8/8/4k3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:672,--,w,BT,H,horizon,0,143,N1b1N1N1/1pPpPpPp/1P1P1P1P/8/8/8/8/k1K5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:673,--,w,BT,H,horizon,0,143,RN1b1N1N/P1pPpPpP/P1P1P1P1/8/8/8/8/k1K5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:674,--,w,BT,H,horizon,0,143,RN1b1N1b/P1pPpPpP/P1P1P1P1/8/8/8/8/k1K5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:695,--,w,BT,H,budget,0,50001,k7/p1p1p3/8/8/8/P1P1P1p1/6Pp/7K w - -
engine_4x.js,chasolver-positions,chasolver-positions:699,--,w,BT,H,horizon,0,254,8/8/6p1/6P1/6P1/6PK/6PP/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:702,--,w,BT,H,horizon,0,253,8/8/6p1/6P1/6PK/6P1/6PP/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:705,--,w,BT,H,horizon,0,249,8/6p1/6p1/6P1/6PK/2k3P1/6PP/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:706,--,w,BT,H,horizon,0,249,8/8/6p1/6P1/6PK/2k3P1/6PP/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:710,--,w,BT,H,horizon,0,250,8/8/6p1/6P1/6P1/2k3PK/6PP/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:711,--,w,BT,H,horizon,0,250,8/5p2/5Pp1/6P1/6P1/2k3PK/6PP/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:712,--,w,BT,H,horizon,0,250,8/7p/6pP/6P1/6P1/2k3PK/6PP/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:713,--,w,BT,H,horizon,0,241,8/2p5/1pP5/1P1k4/1P6/KP6/PP6/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:714,--,w,BT,H,horizon,0,226,1k6/2p5/1pP5/1P6/1P6/KP6/PP6/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:715,--,w,BT,H,horizon,0,247,8/2p5/1pP5/1P6/1P6/KP6/PP6/1k6 w - -
engine_4x.js,chasolver-positions,chasolver-positions:716,--,w,BT,H,horizon,0,247,8/2p5/1pP5/1P6/1P6/KP6/PP6/7k w - -
engine_4x.js,chasolver-positions,chasolver-positions:718,--,w,BT,H,horizon,0,247,8/2p5/1pP5/1P6/KP6/1P6/PP6/7k w - -
engine_4x.js,chasolver-positions,chasolver-positions:722,--,w,BT,H,budget,0,50001,k7/3p1p1p/8/1p6/1P6/KP1P1P1P/PP6/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:723,--,w,BT,H,budget,0,50001,k7/8/3p1p1p/1p6/1P6/KP6/PP1P1P1P/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:724,--,w,BT,H,budget,0,50001,k7/3p4/5p1p/1p6/1P6/KP6/PP1P1P1P/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:726,--,w,BT,H,budget,0,50001,8/3p1p1p/8/1p6/1P6/KP6/PP1P1P1P/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:730,--,w,BT,H,budget,0,50001,8/3p1p1p/1p6/1P6/KP6/PP1P4/5P1P/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:733,--,w,BT,H,budget,0,50001,8/3p1p1p/1p6/1P6/BP6/KP6/PP1P1P1P/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:736,--,w,BT,H,budget,0,50001,8/1p1p1p1p/1P6/KP6/PP6/1P1P4/5P1P/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:737,--,w,BT,H,budget,0,50001,8/1p1p1p1p/1P6/KP6/PP6/1P3P2/3P3P/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:750,--,w,BT,H,horizon,0,163,k2b1b2/b1b1pPp1/1p1pP1P1/1P1P4/8/8/8/6K1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:751,--,w,BT,H,horizon,0,144,k2b1b2/b3pPp1/1p1pP1P1/1P1P4/8/8/8/6K1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:752,--,w,BT,H,horizon,0,209,k4b2/4pPp1/1p1pP1P1/1P1P4/8/8/8/6K1 w - -
engine_4x.js,chasolver-positions,chasolver-positions:766,--,w,BT,H,budget,0,50001,8/p1p1p3/6p1/6P1/6PK/P5PP/2P1P3/k7 w - -
engine_4x.js,chasolver-positions,chasolver-positions:768,--,w,BT,H,budget,0,50001,8/p1p1p3/8/6p1/6P1/6PK/P1P1P1PP/7k w - -
engine_4x.js,chasolver-positions,chasolver-positions:773,--,w,BT,H,horizon,0,174,6k1/8/8/1p6/1P6/1P1p4/BP1P1B2/KRB5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:775,--,w,BT,H,horizon,0,198,6k1/8/8/1p6/1P2p1p1/1P1pP1P1/BP1P1B2/KRB5 w - -
engine_4x.js,chasolver-positions,chasolver-positions:776,--,w,BT,H,horizon,0,169,6k1/8/8/1p6/1P2pBp1/1P1pP1P1/BP1P4/KRB5 w - -
